VISITED: 0
ROOMTYPE: END
ROOMNAME: Cafe
LONGDESCRIPTION: Congratulations! You reached the end of the adventure. Please have a cup of cofee on the house.
SHORTDESCRIPTION: Congratulations! You reached the end of the adventure. Free coffee!
FEATURE1: NA
LOOK1: NA
HIT1: NA
OPEN1: NA 
MOVE1: NA
FEATURE2: NA
LOOK2: NA
HIT2: NA
OPEN2: NA
MOVE2: NA
LOOKAT2: NA
HITD2: NA
OPEND2: NA
MOVED2: NA
OBJECT: NA
NUMEXITS: 1
EXIT1DIRECTION: west
EXIT2DIRECTION: NA
EXIT3DIRECTION: NA
EXIT4DIRECTION: NA
EXIT1NAME: Animal Room
EXIT2NAME: NA
EXIT3NAME: NA
EXIT4NAME: NA
FEATURE1ENEMY?: No
FEATURE2ENEMY?: No
